"GMSL","year","id","sea_higher","sea_lower"
5.8,1993-01-05,1,5.8,5.8
2.42,1993-01-15,2,2.42,2.42
2.46,1993-01-25,3,2.46,2.46
1.72,1993-02-03,4,1.72,1.72
6.53,1993-02-13,5,6.53,6.53
8.3,1993-02-23,6,8.3,8.3
8.28,1993-03-05,7,8.28,8.28
8.87,1993-03-15,8,8.87,8.87
8.92,1993-03-25,9,8.92,8.92
5.14,1993-04-04,10,5.14,5.14
6.87,1993-04-14,11,6.87,6.87
9.87,1993-04-24,12,9.87,9.87
7.76,1993-05-04,13,7.76,7.76
5.59,1993-05-14,14,5.59,5.59
4.16,1993-05-24,15,4.16,4.16
6.07,1993-06-02,16,6.07,6.07
8.36,1993-06-12,17,8.36,8.36
9.17,1993-06-22,18,9.17,9.17
9.01,1993-07-02,19,9.01,9.01
8.59,1993-07-12,20,8.59,8.59
15.93,1993-07-22,21,15.93,15.93
8.73,1993-08-01,22,8.73,8.73
10.26,1993-08-11,23,10.26,10.26
14.12,1993-08-21,24,14.12,14.12
14.62,1993-08-31,25,14.62,14.62
13.86,1993-09-10,26,13.86,13.86
12.41,1993-09-20,27,12.41,12.41
15.58,1993-09-29,28,15.58,15.58
17.8,1993-10-09,29,17.8,17.8
15.05,1993-10-19,30,15.05,15.05
13.46,1993-10-29,31,13.46,13.46
12.89,1993-11-08,32,12.89,12.89
11.93,1993-11-18,33,11.93,11.93
10.08,1993-11-28,34,10.08,10.08
12.13,1993-12-08,35,12.13,12.13
16.03,1993-12-18,36,16.03,16.03
13.26,1993-12-28,37,13.26,13.26
11.07,1994-01-07,38,11.07,11.07
13.53,1994-01-17,39,13.53,13.53
15.09,1994-01-26,40,15.09,15.09
10.29,1994-02-05,41,10.29,10.29
6.98,1994-02-15,42,6.98,6.98
7.6,1994-02-25,43,7.6,7.6
12.14,1994-03-07,44,12.14,12.14
9.15,1994-03-17,45,9.15,9.15
15.71,1994-03-27,46,15.71,15.71
12.47,1994-04-06,47,12.47,12.47
12.7,1994-04-16,48,12.7,12.7
11.09,1994-04-26,49,11.09,11.09
9.78,1994-05-06,50,9.78,9.78
9.2,1994-05-15,51,9.2,9.2
6.46,1994-05-25,52,6.46,6.46
8.93,1994-06-04,53,8.93,8.93
11.78,1994-06-14,54,11.78,11.78
4.07,1994-06-24,55,4.07,4.07
5.81,1994-07-04,56,5.81,5.81
11.58,1994-07-14,57,11.58,11.58
12.93,1994-07-24,58,12.93,12.93
13.05,1994-08-03,59,13.05,13.05
12.72,1994-08-13,60,12.72,12.72
15.52,1994-08-23,61,15.52,15.52
17.38,1994-09-02,62,17.38,17.38
