"rate","year","id"
315.7,1958-03-15,1
317.45,1958-04-16,2
317.51,1958-05-16,3
317.24,1958-06-16,4
315.86,1958-07-16,5
314.93,1958-08-15,6
313.2,1958-09-15,7
312.43,1958-10-15,8
313.33,1958-11-16,9
314.67,1958-12-16,10
315.58,1959-01-16,11
316.48,1959-02-15,12
316.65,1959-03-15,13
317.72,1959-04-16,14
318.29,1959-05-16,15
318.15,1959-06-16,16
316.54,1959-07-16,17
314.8,1959-08-15,18
313.84,1959-09-15,19
313.33,1959-10-15,20
314.81,1959-11-16,21
315.58,1959-12-16,22
316.43,1960-01-16,23
316.98,1960-02-16,24
317.58,1960-03-15,25
319.03,1960-04-15,26
320.04,1960-05-16,27
319.59,1960-06-16,28
318.18,1960-07-16,29
315.9,1960-08-16,30
314.17,1960-09-16,31
313.83,1960-10-15,32
315,1960-11-15,33
316.19,1960-12-16,34
316.89,1961-01-16,35
317.7,1961-02-15,36
318.54,1961-03-15,37
319.48,1961-04-16,38
320.58,1961-05-16,39
319.77,1961-06-16,40
318.57,1961-07-16,41
316.79,1961-08-15,42
314.99,1961-09-15,43
315.31,1961-10-15,44
316.1,1961-11-16,45
317.01,1961-12-16,46
317.94,1962-01-16,47
318.55,1962-02-15,48
319.68,1962-03-15,49
320.57,1962-04-16,50
321.02,1962-05-16,51
320.62,1962-06-16,52
319.61,1962-07-16,53
317.4,1962-08-15,54
316.25,1962-09-15,55
315.42,1962-10-15,56
316.69,1962-11-16,57
317.7,1962-12-16,58
318.74,1963-01-16,59
319.07,1963-02-15,60
319.86,1963-03-15,61
321.38,1963-04-16,62
322.25,1963-05-16,63
321.48,1963-06-16,64
319.74,1963-07-16,65
317.77,1963-08-15,66
316.21,1963-09-15,67
315.99,1963-10-15,68
317.07,1963-11-16,69
318.35,1963-12-16,70
319.57,1964-01-16,71
320.01,1964-02-16,72
320.74,1964-03-15,73
321.84,1964-04-15,74
322.26,1964-05-16,75
321.89,1964-06-16,76
320.44,1964-07-16,77
318.69,1964-08-16,78
316.7,1964-09-16,79
316.87,1964-10-15,80
317.68,1964-11-15,81
318.71,1964-12-16,82
319.44,1965-01-16,83
320.44,1965-02-15,84
320.89,1965-03-15,85
322.14,1965-04-16,86
322.17,1965-05-16,87
321.87,1965-06-16,88
321.21,1965-07-16,89
318.87,1965-08-15,90
317.81,1965-09-15,91
