"GMSL","year","id"
5.8,1993-01-05,1
2.42,1993-01-15,2
2.46,1993-01-25,3
1.72,1993-02-03,4
6.53,1993-02-13,5
8.3,1993-02-23,6
8.28,1993-03-05,7
8.87,1993-03-15,8
8.92,1993-03-25,9
5.14,1993-04-04,10
6.87,1993-04-14,11
9.87,1993-04-24,12
7.76,1993-05-04,13
5.59,1993-05-14,14
4.16,1993-05-24,15
6.07,1993-06-02,16
8.36,1993-06-12,17
9.17,1993-06-22,18
9.01,1993-07-02,19
8.59,1993-07-12,20
15.93,1993-07-22,21
8.73,1993-08-01,22
10.26,1993-08-11,23
14.12,1993-08-21,24
14.62,1993-08-31,25
13.86,1993-09-10,26
12.41,1993-09-20,27
15.58,1993-09-29,28
17.8,1993-10-09,29
15.05,1993-10-19,30
13.46,1993-10-29,31
12.89,1993-11-08,32
11.93,1993-11-18,33
10.08,1993-11-28,34
12.13,1993-12-08,35
16.03,1993-12-18,36
13.26,1993-12-28,37
11.07,1994-01-07,38
13.53,1994-01-17,39
15.09,1994-01-26,40
10.29,1994-02-05,41
6.98,1994-02-15,42
7.6,1994-02-25,43
12.14,1994-03-07,44
9.15,1994-03-17,45
15.71,1994-03-27,46
12.47,1994-04-06,47
12.7,1994-04-16,48
11.09,1994-04-26,49
9.78,1994-05-06,50
9.2,1994-05-15,51
6.46,1994-05-25,52
8.93,1994-06-04,53
11.78,1994-06-14,54
4.07,1994-06-24,55
5.81,1994-07-04,56
11.58,1994-07-14,57
12.93,1994-07-24,58
13.05,1994-08-03,59
12.72,1994-08-13,60
15.52,1994-08-23,61
17.38,1994-09-02,62
19.01,1994-09-11,63
18.22,1994-09-21,64
17.29,1994-10-01,65
18.83,1994-10-11,66
21.02,1994-10-21,67
18.77,1994-10-31,68
24.37,1994-11-10,69
16,1994-11-20,70
12.28,1994-11-30,71
16.55,1994-12-10,72
18.41,1994-12-20,73
19.46,1994-12-30,74
19.67,1995-01-08,75
16.8,1995-01-18,76
19.13,1995-01-28,77
13.92,1995-02-07,78
10.35,1995-02-17,79
15.48,1995-02-27,80
15.39,1995-03-09,81
20.48,1995-03-19,82
13.79,1995-03-29,83
13.04,1995-04-08,84
13.1,1995-04-18,85
14.25,1995-04-28,86
6.4,1995-05-07,87
10.93,1995-05-17,88
12.6,1995-05-27,89
15.27,1995-06-06,90
12.3,1995-06-16,91
11.06,1995-06-26,92
15.14,1995-07-06,93
12,1995-07-16,94
13.44,1995-07-26,95
14.17,1995-08-05,96
16.16,1995-08-15,97
17.3,1995-08-25,98
20.03,1995-09-03,99
21.55,1995-09-13,100
26.97,1995-09-23,101
21.36,1995-10-03,102
20.31,1995-10-13,103
14.05,1995-10-23,104
19.8,1995-11-02,105
18.8,1995-11-12,106
20.4,1995-11-22,107
0,1995-12-02,108
16.87,1995-12-12,109
22.56,1995-12-22,110
17.66,1995-12-31,111
13.82,1996-01-10,112
12.12,1996-01-20,113
10.75,1996-01-30,114
16.84,1996-02-09,115
13.23,1996-02-19,116
16.93,1996-02-29,117
13.55,1996-03-10,118
15.37,1996-03-20,119
15.33,1996-03-30,120
12.03,1996-04-09,121
11.99,1996-04-19,122
14.82,1996-04-28,123
14.84,1996-05-08,124
13.43,1996-05-18,125
15.3,1996-05-28,126
15.57,1996-06-07,127
10.69,1996-06-17,128
16.26,1996-06-27,129
16.65,1996-07-07,130
18.12,1996-07-17,131
22.3,1996-07-27,132
20.23,1996-08-06,133
20.38,1996-08-15,134
20.28,1996-08-25,135
19.18,1996-09-04,136
21.96,1996-09-14,137
24.35,1996-09-24,138
24.84,1996-10-04,139
17.73,1996-10-14,140
26.34,1996-10-24,141
30.4,1996-11-03,142
25.5,1996-11-13,143
20.41,1996-11-23,144
21.22,1996-12-03,145
21.77,1996-12-12,146
16.04,1996-12-22,147
14.9,1997-01-01,148
17.04,1997-01-11,149
14.39,1997-01-21,150
16.78,1997-01-31,151
9.54,1997-02-10,152
14.92,1997-02-20,153
15.12,1997-03-02,154
14.75,1997-03-12,155
17.04,1997-03-22,156
18.34,1997-04-01,157
19.43,1997-04-10,158
14.44,1997-04-20,159
15.66,1997-04-30,160
18.71,1997-05-10,161
14.71,1997-05-20,162
18.76,1997-05-30,163
13.63,1997-06-09,164
16.11,1997-06-19,165
19,1997-06-29,166
19.71,1997-07-09,167
24.51,1997-07-19,168
24.04,1997-07-29,169
19.43,1997-08-07,170
26.3,1997-08-17,171
28.48,1997-08-27,172
29.36,1997-09-06,173
32,1997-09-16,174
34.22,1997-09-26,175
35.96,1997-10-06,176
32.24,1997-10-16,177
31.17,1997-10-26,178
32.43,1997-11-05,179
28.56,1997-11-15,180
27.81,1997-11-25,181
29.38,1997-12-04,182
21.27,1997-12-14,183
23.04,1997-12-24,184
19.94,1998-01-03,185
23.6,1998-01-13,186
19.37,1998-01-23,187
22.2,1998-02-02,188
22.09,1998-02-12,189
20.9,1998-02-22,190
19.58,1998-03-04,191
22.16,1998-03-14,192
22.12,1998-03-24,193
21.33,1998-04-02,194
23.22,1998-04-12,195
20.73,1998-04-22,196
20.1,1998-05-02,197
17.47,1998-05-12,198
18.96,1998-05-22,199
14.51,1998-06-01,200
15.21,1998-06-11,201
13.96,1998-06-21,202
17.06,1998-07-01,203
16.64,1998-07-11,204
15.13,1998-07-20,205
16.51,1998-07-30,206
16.65,1998-08-09,207
16.4,1998-08-19,208
19.94,1998-08-29,209
21.22,1998-09-08,210
20.58,1998-09-18,211
20.72,1998-09-28,212
21.8,1998-10-08,213
20.2,1998-10-18,214
22.58,1998-10-28,215
20.38,1998-11-07,216
20.21,1998-11-16,217
16.46,1998-11-26,218
20.66,1998-12-06,219
16.72,1998-12-16,220
17.88,1998-12-26,221
16.13,1999-01-05,222
18.02,1999-01-15,223
15.95,1999-01-25,224
13.44,1999-02-04,225
23.94,1999-02-14,226
21.03,1999-02-24,227
22.63,1999-03-06,228
20.83,1999-03-15,229
21.86,1999-03-25,230
19.66,1999-04-04,231
20.72,1999-04-14,232
15.58,1999-04-24,233
17.57,1999-05-04,234
19.49,1999-05-14,235
18.31,1999-05-24,236
19.45,1999-06-03,237
15.99,1999-06-13,238
17.94,1999-06-23,239
19.13,1999-07-03,240
21.21,1999-07-12,241
21.11,1999-07-22,242
22.12,1999-08-01,243
20.85,1999-08-11,244
26.15,1999-08-21,245
22.9,1999-08-31,246
26.82,1999-09-10,247
30.27,1999-09-20,248
29.52,1999-09-30,249
32.81,1999-10-10,250
29.81,1999-10-20,251
29.17,1999-10-30,252
27.81,1999-11-08,253
28.6,1999-11-18,254
26.21,1999-11-28,255
28.29,1999-12-08,256
