"GMSL","year"
5.8,1993-01-05
2.42,1993-01-15
2.46,1993-01-25
1.72,1993-02-03
6.53,1993-02-13
8.3,1993-02-23
8.28,1993-03-05
8.87,1993-03-15
8.92,1993-03-25
5.14,1993-04-04
6.87,1993-04-14
9.87,1993-04-24
7.76,1993-05-04
5.59,1993-05-14
4.16,1993-05-24
6.07,1993-06-02
8.36,1993-06-12
9.17,1993-06-22
9.01,1993-07-02
8.59,1993-07-12
15.93,1993-07-22
8.73,1993-08-01
10.26,1993-08-11
14.12,1993-08-21
14.62,1993-08-31
13.86,1993-09-10
12.41,1993-09-20
15.58,1993-09-29
17.8,1993-10-09
15.05,1993-10-19
13.46,1993-10-29
12.89,1993-11-08
11.93,1993-11-18
10.08,1993-11-28
12.13,1993-12-08
16.03,1993-12-18
13.26,1993-12-28
11.07,1994-01-07
13.53,1994-01-17
15.09,1994-01-26
10.29,1994-02-05
6.98,1994-02-15
7.6,1994-02-25
12.14,1994-03-07
9.15,1994-03-17
15.71,1994-03-27
12.47,1994-04-06
12.7,1994-04-16
11.09,1994-04-26
9.78,1994-05-06
9.2,1994-05-15
6.46,1994-05-25
8.93,1994-06-04
11.78,1994-06-14
4.07,1994-06-24
5.81,1994-07-04
11.58,1994-07-14
12.93,1994-07-24
13.05,1994-08-03
12.72,1994-08-13
15.52,1994-08-23
17.38,1994-09-02
19.01,1994-09-11
18.22,1994-09-21
17.29,1994-10-01
18.83,1994-10-11
21.02,1994-10-21
18.77,1994-10-31
24.37,1994-11-10
16,1994-11-20
12.28,1994-11-30
16.55,1994-12-10
18.41,1994-12-20
19.46,1994-12-30
19.67,1995-01-08
16.8,1995-01-18
19.13,1995-01-28
13.92,1995-02-07
10.35,1995-02-17
15.48,1995-02-27
15.39,1995-03-09
20.48,1995-03-19
13.79,1995-03-29
13.04,1995-04-08
13.1,1995-04-18
14.25,1995-04-28
6.4,1995-05-07
10.93,1995-05-17
12.6,1995-05-27
15.27,1995-06-06
12.3,1995-06-16
11.06,1995-06-26
15.14,1995-07-06
12,1995-07-16
13.44,1995-07-26
14.17,1995-08-05
16.16,1995-08-15
17.3,1995-08-25
20.03,1995-09-03
21.55,1995-09-13
26.97,1995-09-23
21.36,1995-10-03
20.31,1995-10-13
14.05,1995-10-23
19.8,1995-11-02
18.8,1995-11-12
20.4,1995-11-22
0,1995-12-02
16.87,1995-12-12
22.56,1995-12-22
17.66,1995-12-31
13.82,1996-01-10
12.12,1996-01-20
10.75,1996-01-30
16.84,1996-02-09
13.23,1996-02-19
16.93,1996-02-29
13.55,1996-03-10
15.37,1996-03-20
15.33,1996-03-30
12.03,1996-04-09
11.99,1996-04-19
14.82,1996-04-28
14.84,1996-05-08
13.43,1996-05-18
15.3,1996-05-28
15.57,1996-06-07
10.69,1996-06-17
16.26,1996-06-27
16.65,1996-07-07
18.12,1996-07-17
22.3,1996-07-27
20.23,1996-08-06
20.38,1996-08-15
20.28,1996-08-25
19.18,1996-09-04
21.96,1996-09-14
24.35,1996-09-24
24.84,1996-10-04
